Year,Crops,Area,Average_Yield,Production,Autum_Area,Autum_Average_Yield ,Autum_Production,Summer_Area,Summer_Average_Yield,Summer_Production
2010,Jew's mallow,1370,2.8,3821.3,34,2.3,78.3,1336,2.8,3743
2010,Lettuce,1476,3.2,4756.8,1276,3.4,4344.2,200,2.1,412.6
2010,Okra,3529.5,0.6,2100.6,24,0.4,10.6,3505.5,0.6,2090
2010,Onion dry,276,2.5,675.7,236,2.5,598.3,40,1.9,77.4
2010,Onion green,88.5,2,178.4,7.5,2.4,17.8,81,2,160.6
2010,Others_(Vegetables),359,1.4,507.2,325,1.4,463.6,34,1.3,43.6
2010,Parsley,134.3,2.5,341.6,122.3,2.5,308,12,2.8,33.6
2010,Peas,23.5,1.3,29.8,13,1.4,18.2,10.5,1.1,11.6
2010,Pepper,3567.8,5.4,9743.5,2576.3,5.6,7236.5,991.5,5.3,2506.8
2010,Potato,8037.5,2.8,22454.8,6882.5,2.9,20053.6,1155,2.1,2401.1
2010,Radish,437,2.4,1065.1,357,2.4,870.4,80,2.4,194.7
2010,Spinach,383,2.9,1107,356.5,2.9,1027.6,26.5,3,79.4
2010,Squash,4310.5,1.6,7006.4,2797.5,1.8,5028.8,1513,1.3,1977.7
2010,Sweet melon,175.5,3.9,685.5,20.5,2.4,49.2,155,4.1,636.3
2010,Tomatoes,5670.8,5.2,29588.2,2717.8,6,16207.3,2953,4.5,13380.8
2010,Turnip,18,2.9,52.3,13,2.8,36.3,5,3.2,16
2010,Water melon,34,4.5,153.7,0,0,0,34,4.5,153.7
2011,Beans,2582.3,3.4,4262.4,1223.5,3.7,2483.1,1358.8,3.1,1779.3
2011,Cabbage,322.5,4.4,1410.3,202,4.8,964.4,120.5,3.7,445.9
2011,Carrot,6,3.5,21,6,3.5,21,0,0,0
2011,Cauliflower,832.5,3.7,3074.9,590.5,3.8,2236.4,242,3.5,838.4
2011,Cowpeas,159.5,1.1,179.6,8,1.1,8.9,151.5,1.1,170.7
2011,Cucumber,1877.5,14,23035.9,1674,12.5,20999.2,203.5,12.5,2036.7
2011,Eggplants,1785.5,5.3,9494.1,643.5,6.2,3995.1,1142,4.8,5498.9
